userName,score,content,at,replyContent
Nayla Ayudia,5,game nya baguss walaupun lawan nya ngeselin,2026-01-05 22:06:33,
yes rpp,1,ml sekarang banyak bug nya dan kadang server nya lag,2026-01-05 22:05:52,
sipaling Turu,1,gem jahanam ketua udah muak dengen anomali solo renk,2026-01-05 22:04:13,
Kang Mulet,1,GAME LOLL MAIN 1 BULANG GAK ADA YANG MENANG,2026-01-05 22:03:58,
Indra Saputra,5,monton pliss baca pliss di tenggepin nih gw tuh selalu ketemu bot botnya di tim gw itu maksudnya apa ya di kasih bot lu mau kita marah marah biar terus main lagi heh monton benerin lagi dong matchmakingnya ga bener suka ketemu bot di tim sendiri gw tau lu mau ngejebak biar kecanduan tapi ngapain kaya gitu caranya pliss benerin lagih ilangin bot kaya gitu ngecapein aja......,2026-01-05 22:03:51,
Sheeesh,1,"game ampas, banyak pemain yg kesusahan bermain dikarenakan mendapatkan tim beban, dan mlbb seperti game judi/judol kenapa? karena setiap melakukan spin atau apa pasti itu sudah di tentukan oleh developer! itu sama saja seperti judol, game sangat ampas.",2026-01-05 22:03:45,
Afifah Nafisah,5,Bagus banget Pengen semuanya Hero jadi Gratis 🤭,2026-01-05 22:03:40,
Prabu Assahel,1,tw ah,2026-01-05 22:02:24,
Zakky Mubarok,1,game bagus game hebat👍,2026-01-05 22:02:04,
Rizal Gijang,1,game sampah banyak bug setiap seson ada aja bug nya jadi risih trs sinyal bagus tiba tiba ngeleg,2026-01-05 22:01:50,
Razid rass29,1,ngasih tim gakjelas mulu,2026-01-05 22:01:17,
Bagas Saputra,1,"kalo kasih team jangan yang kebanyakan bego Moonton,,Lu Atur permainan Kita,Lu atur server kita,Hey moonton elu itu bego apa gimana,kalo dikasih team gitu mulu orang pada uninstal",2026-01-05 21:59:18,
Dina Susila rini,1,Sistem Dajjal masuk pertandingan j g bisa2 & berkali-kali padahal sinyalnya bagus & HP mendukung.,2026-01-05 21:58:31,
Rasya Abdilah,5,bagus main game ya,2026-01-05 21:57:44,
Adhis Wigi Akmal,1,Sangat buruk! Pembagian tim yang tidak seimbang membuat bermain sangat TIDAK MENYENANGKAN!.,2026-01-05 21:57:15,
dewa arjun,1,"Your game is now getting worse and there are lots of bots. If you want to make a profit, don't just do whatever you want. Players will get tired after a while if it's like this, your game will be quiet.",2026-01-05 21:56:31,
Zafran At saqif,5,game sangat bagus untuk bertanding 🥳,2026-01-05 21:55:44,
Muhammad Rizal,5,game ini sangat bagus semoga tahun depan makin bagus,2026-01-05 21:55:05,
Faiz Sauqi,1,game ini membuat saya semakin stres,2026-01-05 21:52:41,
Ridho okta,1,login akun ke hp 1 ke satu ny lagi di persulit oleh monton eror eror kepala Lo aj lh yg eror,2026-01-05 21:52:08,
Refdi Melindo,1,ml saya kok tidak bisa d buka?,2026-01-05 21:52:02,
